CustomerID,purchase_cnt,item_cnt,recency,user_total,user_average,unique_products,average_interval,total_transactions,cancel_frequency,cancel_rate
16953,1,10,30,20.8,20.8,1,0.0,1,0,0.0
13703,1,10,318,99.5,99.5,1,0.0,1,0,0.0
13829,1,-12,359,-102.0,-102.0,1,0.0,1,1,1.0
16257,1,1,176,21.9,21.9,1,0.0,1,0,0.0
16765,1,4,294,34.0,34.0,1,0.0,1,0,0.0
13017,1,48,7,204.0,204.0,1,0.0,1,0,0.0
16323,1,50,196,207.5,207.5,1,0.0,1,0,0.0
13188,1,24,11,99.6,99.6,1,0.0,1,0,0.0
17948,1,144,147,358.6,358.6,1,0.0,1,0,0.0
14119,1,-2,354,-19.9,-19.9,1,0.0,1,1,1.0
18133,1,1350,212,931.5,931.5,1,0.0,1,0,0.0
14679,1,-1,371,-2.5,-2.5,1,0.0,1,1,1.0
14090,1,72,324,76.3,76.3,1,0.0,1,0,0.0
14705,1,100,198,179.0,179.0,1,0.0,1,0,0.0
16148,1,72,296,76.3,76.3,1,0.0,1,0,0.0
14351,1,12,164,51.0,51.0,1,0.0,1,0,0.0
16454,1,2,64,5.9,5.9,1,0.0,1,0,0.0
15316,1,100,326,165.0,165.0,1,0.0,1,0,0.0
13270,1,200,366,590.0,590.0,1,0.0,1,0,0.0
18113,1,72,368,76.3,76.3,1,0.0,1,0,0.0
17291,1,72,308,550.8,550.8,1,0.0,1,0,0.0
17331,1,16,123,175.2,175.2,1,0.0,1,0,0.0
14576,1,12,372,35.4,35.4,1,0.0,1,0,0.0
18174,1,50,7,104.0,104.0,1,0.0,1,0,0.0
15389,1,400,172,500.0,500.0,1,0.0,1,0,0.0
13307,1,4,120,15.0,15.0,1,0.0,1,0,0.0
15657,1,24,22,30.0,30.0,1,0.0,1,0,0.0
16881,1,600,66,432.0,432.0,1,0.0,1,0,0.0
18233,1,4,325,440.0,440.0,1,0.0,1,0,0.0
14424,1,48,17,322.1,322.1,1,0.0,1,0,0.0
15562,1,39,351,134.6,134.6,1,0.0,1,0,0.0
16093,1,20,106,17.0,17.0,1,0.0,1,0,0.0
15753,1,144,304,79.2,79.2,1,0.0,1,0,0.0
16738,1,3,297,3.8,3.8,1,0.0,1,0,0.0
13135,1,4300,196,3096.0,3096.0,1,0.0,1,0,0.0
17925,1,72,372,244.1,244.1,1,0.0,1,0,0.0
17923,1,50,282,207.5,207.5,1,0.0,1,0,0.0
17443,1,504,219,534.2,534.2,1,0.0,1,0,0.0
13120,1,12,238,30.6,30.6,1,0.0,1,0,0.0
17347,1,216,86,229.0,229.0,1,0.0,1,0,0.0
16144,1,16,246,175.2,175.2,1,0.0,1,0,0.0
13841,1,100,252,85.0,85.0,1,0.0,1,0,0.0
13747,1,8,373,79.6,79.6,1,0.0,1,0,0.0
15488,1,72,92,76.3,76.3,1,0.0,1,0,0.0
18184,1,60,15,49.8,49.8,1,0.0,1,0,0.0
16061,1,-1,269,-29.9,-29.9,1,0.0,1,1,1.0
16078,1,16,283,79.2,79.2,1,0.0,1,0,0.0
13099,1,288,99,207.4,207.4,1,0.0,1,0,0.0
17102,1,2,261,25.5,25.5,1,0.0,1,0,0.0
17956,1,1,249,12.8,12.8,1,0.0,1,0,0.0
15668,1,72,217,76.3,76.3,1,0.0,1,0,0.0
15070,1,36,372,106.2,106.2,1,0.0,1,0,0.0
16737,1,288,53,417.6,417.6,1,0.0,1,0,0.0
17986,1,10,56,20.8,20.8,1,0.0,1,0,0.0
12791,1,96,373,177.6,177.6,1,0.0,1,0,0.0
16990,1,100,218,179.0,179.0,1,0.0,1,0,0.0
17715,1,384,200,326.4,326.4,1,0.0,1,0,0.0
12603,1,56,21,613.2,613.2,1,0.0,1,0,0.0
17752,1,192,359,80.6,80.6,1,0.0,1,0,0.0
16344,1,18,158,101.1,101.1,1,0.0,2,0,0.0
13366,1,144,50,56.2,56.2,1,0.0,1,0,0.0
13391,1,4,203,59.8,59.8,1,0.0,1,0,0.0
15524,1,4,24,440.0,440.0,1,0.0,1,0,0.0
18068,1,6,289,101.7,101.7,1,0.0,1,0,0.0
13302,1,5,155,63.8,63.8,1,0.0,1,0,0.0
16428,1,-1,81,-3.0,-3.0,1,0.0,1,1,1.0
16579,1,-12,365,-30.6,-30.6,1,0.0,1,1,1.0
13185,1,12,267,71.4,71.4,1,0.0,1,0,0.0
17307,1,-144,365,-152.6,-152.6,1,0.0,1,1,1.0
15118,1,1440,134,244.8,244.8,1,0.0,1,0,0.0
15313,1,25,110,52.0,52.0,1,0.0,1,0,0.0
15195,1,1404,2,3861.0,3861.0,1,0.0,1,0,0.0
16995,1,-1,372,-1.3,-1.3,1,0.0,1,1,1.0
12943,1,-1,301,-3.8,-3.8,1,0.0,1,1,1.0
17382,1,24,65,50.4,50.4,1,0.0,1,0,0.0
18141,1,-12,360,-35.4,-35.4,1,0.0,1,1,1.0
15510,1,2,330,250.0,250.0,1,0.0,1,0,0.0
17763,1,12,263,15.0,15.0,1,0.0,1,0,0.0
16138,1,-1,368,-8.0,-8.0,1,0.0,1,1,1.0
15940,1,4,311,35.8,35.8,1,0.0,1,0,0.0
12814,1,48,101,85.9,85.9,1,0.0,1,0,0.0
16692,2,151,256,1126.0,563.0,1,32.0,2,0,0.0
15649,2,192,336,816.0,408.0,1,31.0,2,0,0.0
17029,2,400,110,716.0,358.0,1,126.0,2,0,0.0
18268,2,0,134,0.0,0.0,1,0.0,2,1,0.5
13452,2,2,259,590.0,295.0,1,11.0,2,0,0.0
13068,2,200,10,344.0,172.0,1,309.0,2,0,0.0
16073,2,37,291,94.3,47.15,1,5.0,2,1,0.5
12346,2,0,325,0.0,0.0,1,0.0,2,1,0.5
14682,2,80,187,52.0,26.0,1,13.0,2,0,0.0
12875,2,2019,143,343.2,171.6,1,219.0,2,0,0.0
13106,2,14,128,59.5,29.75,1,4.0,2,1,0.5
17747,2,11,100,64.7,32.35,1,12.0,2,1,0.5
17186,2,200,46,144.0,72.0,1,13.0,2,0,0.0
18017,3,300,81,523.0,174.33333333333334,1,114.5,3,0,0.0
12908,3,600,176,360.0,120.0,1,68.0,3,1,0.33
18273,3,80,2,204.0,68.0,1,127.5,3,0,0.0
17616,3,224,173,571.2,190.4,1,96.5,3,0,0.0
16716,3,44,266,319.8,106.60000000000001,1,22.0,3,1,0.33
16462,4,12,64,102.0,25.5,1,72.67,4,1,0.25
16308,4,8000,37,2560.0,640.0,1,74.0,4,0,0.0
13147,4,144,10,712.8,178.2,1,29.33,4,0,0.0
15098,4,61,182,39619.5,9904.875,1,0.0,4,1,0.25
16998,5,74,149,287.5,57.5,1,38.0,5,1,0.2
12823,5,230,74,1759.5,351.9,1,55.0,5,0,0.0
15100,6,58,330,635.1,105.85000000000001,1,8.2,6,3,0.5
17079,1,24,78,118.8,118.8,2,0.0,2,0,0.0
15269,1,26,23,408.8,408.8,2,0.0,2,0,0.0
15603,1,96,78,48.5,48.5,2,0.0,2,0,0.0
16659,1,72,189,39.1,39.1,2,0.0,2,0,0.0
17995,1,133,281,76.1,76.1,2,0.0,2,0,0.0
14642,1,76,58,96.1,96.1,2,0.0,2,0,0.0
17547,1,-4,372,-11.8,-11.8,2,0.0,2,2,1.0
16976,1,88,267,251.5,251.5,2,0.0,2,0,0.0
12917,1,120,128,594.0,594.0,2,0.0,2,0,0.0
13298,1,96,1,360.0,360.0,2,0.0,2,0,0.0
17942,1,38,7,77.5,77.5,2,0.0,2,0,0.0
14603,1,400,274,660.0,660.0,2,0.0,2,0,0.0
14199,1,28,218,185.4,185.4,2,0.0,2,0,0.0
13967,1,42,145,80.7,80.7,2,0.0,2,0,0.0
15945,1,52,365,181.0,181.0,2,0.0,2,0,0.0
17427,1,34,71,100.8,100.8,2,0.0,2,0,0.0
16754,1,4280,372,2002.4,2002.4,2,0.0,2,0,0.0
15423,1,101,38,43.5,43.5,2,0.0,2,0,0.0
12870,1,-2,366,-14.9,-14.9,2,0.0,2,2,1.0
17896,1,288,23,256.3,256.3,2,0.0,2,0,0.0
14821,1,20,366,48.8,48.8,2,0.0,2,0,0.0
17941,1,252,130,304.6,304.6,2,0.0,2,0,0.0
16162,1,4,252,37.4,37.4,2,0.0,2,0,0.0
15691,1,72,252,136.8,136.8,2,0.0,2,0,0.0
15638,1,-52,301,-94.0,-94.0,2,0.0,2,2,1.0
13228,1,200,81,358.0,358.0,2,0.0,2,0,0.0
